# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   66       2.401820674051e-10       3.773026601756e-14      -5.489787634684e-13       1.886285294248e-16       2.805081234310e-11       3.328128164083e-12      -1.039315951911e-14 
   67       2.433808801680e-10       3.939215080875e-14      -6.030851623074e-13       1.944041590628e-16       2.707609145511e-11       3.229329811327e-12      -1.024373410053e-14 
   68       2.466104969394e-10       4.108686637542e-14      -6.588797421501e-13       2.002664988485e-16       2.614749857994e-11       3.134930857899e-12      -1.009495404314e-14 
   69       2.498711904159e-10       4.281381142950e-14      -7.163587573772e-13       2.062155270918e-16       2.526277452465e-11       3.044741114106e-12      -9.945837725793e-15 
   70       2.531626162749e-10       4.457235235378e-14      -7.755184231096e-13       2.122512270781e-16       2.441858434172e-11       2.958465164563e-12      -9.795179022484e-15 
   71       2.564837760008e-10       4.636182343491e-14      -8.363549866204e-13       2.183735874429e-16       2.361046590404e-11       2.875697257050e-12      -9.641537122499e-15 
   72       2.598336312544e-10       4.818145340952e-14      -8.988597701840e-13       2.245826171082e-16       2.283397667613e-11       2.796029286820e-12      -9.483910326750e-15 
   73       2.632131661148e-10       5.003012826171e-14      -9.630030393408e-13       2.308783925752e-16       2.208850314379e-11       2.719410104158e-12      -9.323929791409e-15 
   74       2.666236553492e-10       5.190658310363e-14      -1.028747152782e-12       2.372610204298e-16       2.137409307572e-11       2.645846260361e-12      -9.164070437113e-15 
   75       2.700660260249e-10       5.380947040355e-14      -1.096051273894e-12       2.437306242816e-16       2.069029845695e-11       2.575292537201e-12      -9.007009626564e-15 
   76       2.735408352116e-10       5.573735853644e-14      -1.164871327361e-12       2.502873454716e-16       2.003615141990e-11       2.507649417863e-12      -8.855632600525e-15 
   77       2.770482476826e-10       5.768873033472e-14      -1.235159955773e-12       2.569313437802e-16       1.941014017542e-11       2.442760557889e-12      -8.713037913797e-15 
   78       2.805880136172e-10       5.966198163889e-14      -1.306866476226e-12       2.636627981346e-16       1.881018494388e-11       2.380410256119e-12      -8.582542871215e-15 
   79       2.841594463021e-10       6.165541984822e-14      -1.379936836930e-12       2.704819073162e-16       1.823361388620e-11       2.320320925632e-12      -8.467688963629e-15 
   80       2.877618365359e-10       6.366733352185e-14      -1.454316756607e-12       2.773888880026e-16       1.767782624576e-11       2.262223562003e-12      -8.371316356093e-15 
   81       2.913958277774e-10       6.569621829071e-14      -1.529961866037e-12       2.843839669422e-16       1.714246735427e-11       2.206088805648e-12      -8.292590290888e-15 
   82       2.950622402263e-10       6.774058771679e-14      -1.606829256781e-12       2.914673887063e-16       1.662758918075e-11       2.151931578194e-12      -8.229465777285e-15 
   83       2.987616413404e-10       6.979890559580e-14      -1.684874470125e-12       2.986394188818e-16       1.613298550209e-11       2.099740490187e-12      -8.179561050156e-15 
   84       3.024943316247e-10       7.186958582364e-14      -1.764051512626e-12       3.059003447305e-16       1.565818056026e-11       2.049476663834e-12      -8.140145766187e-15 
   85       3.062603304200e-10       7.395099226283e-14      -1.844312871653e-12       3.132504758467e-16       1.520241771946e-11       2.001072555747e-12      -8.108129200096e-15 
   86       3.100593616922e-10       7.604143860888e-14      -1.925609530939e-12       3.206901448157e-16       1.476464812334e-11       1.954430779685e-12      -8.080048440841e-15 
   87       3.138908398210e-10       7.813918825675e-14      -2.007890986121e-12       3.282197078720e-16       1.434351935215e-11       1.909422929303e-12      -8.052056587833e-15 
   88       3.177538553889e-10       8.024245416730e-14      -2.091105260287e-12       3.358395455578e-16       1.393736407994e-11       1.865888400890e-12      -8.019910947154e-15 
   89       3.216475072518e-10       8.234942003528e-14      -2.175198582717e-12       3.435500462160e-16       1.354459693472e-11       1.823673788811e-12      -7.979907619575e-15 
   90       3.255719894254e-10       8.445830789029e-14      -2.260114333465e-12       3.513515520674e-16       1.316500114939e-11       1.782760720300e-12      -7.931879010046e-15 
   91       3.295276493067e-10       8.656732090349e-14      -2.345793961089e-12       3.592444058483e-16       1.279862378532e-11       1.743155998090e-12      -7.876646969899e-15 
   92       3.335146476727e-10       8.867462321287e-14      -2.432177315065e-12       3.672289676182e-16       1.244538034239e-11       1.704852251389e-12      -7.815120604962e-15 
   93       3.375329496568e-10       9.077834010886e-14      -2.519202656290e-12       3.753056151608e-16       1.210504953157e-11       1.667827366458e-12      -7.748298649929e-15 
   94       3.415823157256e-10       9.287655821982e-14      -2.606806667580e-12       3.834747443849e-16       1.177726804751e-11       1.632043917183e-12      -7.677271842724e-15 
   95       3.456622926558e-10       9.496732569763e-14      -2.694924464171e-12       3.917367697258e-16       1.146152534112e-11       1.597448595652e-12      -7.603225298870e-15 
   96       3.497722045102e-10       9.704865240322e-14      -2.783489604215e-12       4.000921245466e-16       1.115715839215e-11       1.563971642726e-12      -7.527440885859e-15 
   97       3.539111436153e-10       9.911851009214e-14      -2.872434099285e-12       4.085412615386e-16       1.086334648179e-11       1.531526278616e-12      -7.451299597516e-15 
   98       3.580779615372e-10       1.011748326001e-13      -2.961688424869e-12       4.170846531234e-16       1.057910596522e-11       1.500008133455e-12      -7.376283928370e-15 
   99       3.622715549678e-10       1.032155634963e-13      -3.051182502638e-12       4.257227949074e-16       1.030351562235e-11       1.469320243111e-12      -7.303680927474e-15 
  100       3.664917890919e-10       1.052388063445e-13      -3.140848783298e-12       4.344562157407e-16       1.003644042983e-11       1.439453307219e-12      -7.233638236111e-15 
  101       3.707386888528e-10       1.072426961689e-13      -3.230619621931e-12       4.432854698347e-16       9.777901071029e-12       1.410415794067e-12      -7.165978134812e-15 
  102       3.750121503314e-10       1.092253546363e-13      -3.320426367187e-12       4.522111342681e-16       9.527850101972e-12       1.382209133267e-12      -7.100483697795e-15 
  103       3.793119352970e-10       1.111848908171e-13      -3.410199383556e-12       4.612338094246e-16       9.286169518774e-12       1.354827456204e-12      -7.036897539195e-15 
  104       3.836376657590e-10       1.131194019458e-13      -3.499868073652e-12       4.703541194311e-16       9.052668325130e-12       1.328257336499e-12      -6.974920559310e-15 
  105       3.879888185181e-10       1.150269741827e-13      -3.589360900491e-12       4.795727125964e-16       8.827080099781e-12       1.302477530462e-12      -6.914210690842e-15 
  106       3.923647197177e-10       1.169056833741e-13      -3.678605409764e-12       4.888902618484e-16       8.609060563980e-12       1.277458717547e-12      -6.854381645131e-15 
  107       3.967645393950e-10       1.187535958134e-13      -3.767528252122e-12       4.983074651730e-16       8.398185148969e-12       1.253163240807e-12      -6.795001658399e-15 
  108       4.011872860324e-10       1.205687690024e-13      -3.856055205452e-12       5.078250460519e-16       8.193946563446e-12       1.229544847357e-12      -6.735592237989e-15 
  109       4.056318011092e-10       1.223492524117e-13      -3.944111197154e-12       5.174437539009e-16       7.995752361034e-12       1.206548428821e-12      -6.675626908605e-15 
  110       4.100969537393e-10       1.240931365729e-13      -4.031620990486e-12       5.271643515813e-16       7.803058466906e-12       1.184122763100e-12      -6.614635622139e-15 
  111       4.145822645883e-10       1.257987058632e-13      -4.118511295629e-12       5.369875751774e-16       7.615794398601e-12       1.162261149849e-12      -6.552535863922e-15 
  112       4.190873519792e-10       1.274643067887e-13      -4.204708971740e-12       5.469141698678e-16       7.433988165103e-12       1.140965513934e-12      -6.489341771694e-15 
  113       4.236117355005e-10       1.290883026232e-13      -4.290140415519e-12       5.569449026989e-16       7.257634088525e-12       1.120233738740e-12      -6.425062047112e-15 
  114       4.281548325244e-10       1.306690746439e-13      -4.374731590005e-12       5.670805628961e-16       7.086691707789e-12       1.100059534413e-12      -6.359699740449e-15 
  115       4.327159547239e-10       1.322050233677e-13      -4.458408053389e-12       5.773219621751e-16       6.921084682301e-12       1.080432306083e-12      -6.293252035300e-15 
  116       4.372943045912e-10       1.336945697868e-13      -4.541094987814e-12       5.876699350530e-16       6.760699695630e-12       1.061337022104e-12      -6.225710033282e-15 
  117       4.418889719552e-10       1.351361566045e-13      -4.622717228181e-12       5.981253391592e-16       6.605385359189e-12       1.042754082285e-12      -6.157058538738e-15 
  118       4.464989304992e-10       1.365282494715e-13      -4.703199290957e-12       6.086890555466e-16       6.454951115907e-12       1.024659186122e-12      -6.087275843438e-15 
  119       4.511230342788e-10       1.378693382215e-13      -4.782465402974e-12       6.193619890027e-16       6.309166143913e-12       1.007023201032e-12      -6.016333511284e-15 
  120       4.557600142398e-10       1.391579381075e-13      -4.860439530240e-12       6.301450683607e-16       6.167758260211e-12       9.898120305845e-13      -5.944196163010e-15 
  121       4.604084747356e-10       1.403925910370e-13      -4.937045406739e-12       6.410392468107e-16       6.030412824360e-12       9.729864827381e-13      -5.870821260887e-15 
  122       4.650668900453e-10       1.415718668088e-13      -5.012206563238e-12       6.520455022106e-16       5.896771642150e-12       9.565021380696e-13      -5.796158893424e-15 
  123       4.697337868629e-10       1.426944121163e-13      -5.085847268042e-12       6.631647899457e-16       5.766510260513e-12       9.403198874973e-13      -5.720195924425e-15 
  124       4.744083229211e-10       1.437591013020e-13      -5.157895410265e-12       6.743978947115e-16       5.639582242130e-12       9.244391968809e-13      -5.643094641726e-15 
  125       4.790897685879e-10       1.447649053321e-13      -5.228280003622e-12       6.857455622109e-16       5.516001018119e-12       9.088684333902e-13      -5.565069705114e-15 
  126       4.837773248506e-10       1.457108471747e-13      -5.296930339757e-12       6.972085450183e-16       5.395763535715e-12       8.936144909737e-13      -5.486345341012e-15 
  127       4.884701212971e-10       1.465960034115e-13      -5.363776024225e-12       7.087876025178e-16       5.278849778724e-12       8.786827425371e-13      -5.407155476236e-15 
  128       4.931672140964e-10       1.474195058495e-13      -5.428747012469e-12       7.204835008409e-16       5.165222287960e-12       8.640769921220e-13      -5.327743871747e-15 
  129       4.978675839800e-10       1.481805431331e-13      -5.491773645802e-12       7.322970128044e-16       5.054825681697e-12       8.497994270842e-13      -5.248364256406e-15 
  130       5.025701342225e-10       1.488783623555e-13      -5.552786687386e-12       7.442289178479e-16       4.947586176117e-12       8.358505702728e-13      -5.169280460724e-15 
  131       5.072736886229e-10       1.495122706705e-13      -5.611717358214e-12       7.562800019716e-16       4.843411105748e-12       8.222292322085e-13      -5.090766550619e-15 
  132       5.119769894854e-10       1.500816369042e-13      -5.668497373086e-12       7.684510576741e-16       4.742188443920e-12       8.089324632624e-13      -5.013106961169e-15 
  133       5.166786956002e-10       1.505858931671e-13      -5.723058976593e-12       7.807428838904e-16       4.643786323204e-12       7.959555058346e-13      -4.936596630360e-15 
  134       5.213773802248e-10       1.510245364654e-13      -5.775334979095e-12       7.931562859292e-16       4.548052555863e-12       7.832917465327e-13      -4.861541132849e-15 
  135       5.260715290646e-10       1.513971303129e-13      -5.825258792699e-12       8.056920754111e-16       4.454814154293e-12       7.709326683508e-13      -4.788256813709e-15 
  136       5.307595382543e-10       1.517033063429e-13      -5.872764467244e-12       8.183510702061e-16       4.363876851476e-12       7.588678028476e-13      -4.717070922184e-15 
  137       5.354398527094e-10       1.519427933118e-13      -5.917787355148e-12       8.311340740589e-16       4.275066327689e-12       7.470868721850e-13      -4.648244252665e-15 
  138       5.401114016135e-10       1.521155040861e-13      -5.960266107457e-12       8.440418132174e-16       4.188357720563e-12       7.355865666359e-13      -4.581729749832e-15 
  139       5.447732043767e-10       1.522214607547e-13      -6.000140953527e-12       8.570749930983e-16       4.103758669754e-12       7.243643810004e-13      -4.517389061486e-15 
  140       5.494242331902e-10       1.522607698134e-13      -6.037353130286e-12       8.702343178213e-16       4.021268600306e-12       7.134164540680e-13      -4.455067435251e-15 
  141       5.540634118987e-10       1.522336239507e-13      -6.071844922205e-12       8.835204900183e-16       3.940878507816e-12       7.027375346945e-13      -4.394593360466e-15 
