# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.863442505463e-02       1.506024340925e+04 
       3.881715498090e-02       1.498884074943e+04 
       3.900135576708e-02       1.491752213041e+04 
       3.918708009950e-02       1.484616664126e+04 
       3.937438320676e-02       1.477488342552e+04 
       3.956332302176e-02       1.470354561724e+04 
       3.975396035668e-02       1.463255373393e+04 
       3.994635909223e-02       1.456131915689e+04 
       4.014058638256e-02       1.449016144310e+04 
       4.033671287736e-02       1.441908675144e+04 
       4.053481296297e-02       1.434793560364e+04 
       4.073496502438e-02       1.427690325169e+04 
       4.093725173042e-02       1.420582256650e+04 
       4.114176034447e-02       1.413480738278e+04 
       4.134858306356e-02       1.406363918209e+04 
       4.155781738899e-02       1.399260329152e+04 
       4.176956653196e-02       1.392151628630e+04 
       4.198393985825e-02       1.385042129692e+04 
       4.220105337644e-02       1.377932002106e+04 
       4.242103027489e-02       1.370813770898e+04 
       4.264400151333e-02       1.363692419477e+04 
       4.287010647577e-02       1.356560723185e+04 
       4.309949369239e-02       1.349428375570e+04 
       4.333232163924e-02       1.342286530838e+04 
       4.356875962590e-02       1.335124007846e+04 
       4.380898878278e-02       1.327941255451e+04 
       4.405320316146e-02       1.320778939709e+04 
       4.430161096392e-02       1.313587026188e+04 
       4.455443591867e-02       1.306389341537e+04 
       4.481191882511e-02       1.299153821042e+04 
       4.507431929087e-02       1.291912492018e+04 
       4.534191769131e-02       1.284628777909e+04 
       4.561501738540e-02       1.277369103980e+04 
       4.589394722835e-02       1.270033211968e+04 
       4.617906442912e-02       1.262703271818e+04 
       4.647075780967e-02       1.255325216880e+04 
       4.676945153402e-02       1.247921245486e+04 
       4.707560938865e-02       1.240454718772e+04 
       4.738973971239e-02       1.232977540228e+04 
       4.771240109399e-02       1.225455515413e+04 
       4.804420898123e-02       1.217871639617e+04 
       4.838584337619e-02       1.210233561786e+04 
       4.873805783065e-02       1.202524713013e+04 
       4.910169000422e-02       1.194762481970e+04 
       4.947767410912e-02       1.186924982725e+04 
       4.986705564307e-02       1.178999584446e+04 
       5.027100890973e-02       1.171008547617e+04 
       5.069085795060e-02       1.162885993108e+04 
       5.112810167079e-02       1.154688461523e+04 
       5.158444414344e-02       1.146352293041e+04 
       5.206183133451e-02       1.137883650314e+04 
       5.256249581769e-02       1.129266186443e+04 
       5.308901146215e-02       1.120461683809e+04 
       5.364436059291e-02       1.111481543906e+04 
       5.423201675509e-02       1.102271284518e+04 
       5.485604695854e-02       1.092802964239e+04 
       5.552123809793e-02       1.083046693272e+04 
       5.623325301396e-02       1.072940561424e+04 
       5.699882209022e-02       1.062429587096e+04 
       5.782597572877e-02       1.051432784172e+04 
       5.872432021605e-02       1.039869179250e+04 
       5.970535186659e-02       1.027603361246e+04 
       6.078278733210e-02       1.014464070193e+04 
       6.197285391602e-02       1.000257331074e+04 
       6.329442167047e-02       9.847137757422e+03 
       6.476875867930e-02       9.674861835001e+03 
       6.641855901619e-02       9.481514344989e+03 
       6.826579461548e-02       9.262169070041e+03 
       7.032806334432e-02       9.011486086143e+03 
