# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.918708009950e-02       1.500372008278e+04 
       3.937438320676e-02       1.493303595116e+04 
       3.956332302176e-02       1.486228146730e+04 
       3.975396035668e-02       1.479186826004e+04 
       3.994635909223e-02       1.472119019824e+04 
       4.014058638256e-02       1.465057412419e+04 
       4.033671287736e-02       1.458002706797e+04 
       4.053481296297e-02       1.450938756948e+04 
       4.073496502438e-02       1.443885828258e+04 
       4.093725173042e-02       1.436826677086e+04 
       4.114176034447e-02       1.429772895738e+04 
       4.134858306356e-02       1.422701953491e+04 
       4.155781738899e-02       1.415643493413e+04 
       4.176956653196e-02       1.408578932651e+04 
       4.198393985825e-02       1.401512832171e+04 
       4.220105337644e-02       1.394445310591e+04 
       4.242103027489e-02       1.387368607654e+04 
       4.264400151333e-02       1.380288077985e+04 
       4.287010647577e-02       1.373196604322e+04 
       4.309949369239e-02       1.366104379575e+04 
       4.333232163924e-02       1.359002079780e+04 
       4.356875962590e-02       1.351878000796e+04 
       4.380898878278e-02       1.344733022261e+04 
       4.405320316146e-02       1.337610052897e+04 
       4.430161096392e-02       1.330457669316e+04 
       4.455443591867e-02       1.323300106505e+04 
       4.481191882511e-02       1.316103709894e+04 
       4.507431929087e-02       1.308902353698e+04 
       4.534191769131e-02       1.301659196686e+04 
       4.561501738540e-02       1.294443644187e+04 
       4.589394722835e-02       1.287151656910e+04 
       4.617906442912e-02       1.279868589551e+04 
       4.647075780967e-02       1.272538410681e+04 
       4.676945153402e-02       1.265184685596e+04 
       4.707560938865e-02       1.257770777606e+04 
       4.738973971239e-02       1.250352087575e+04 
       4.771240109399e-02       1.242892847142e+04 
       4.804420898123e-02       1.235375116848e+04 
       4.838584337619e-02       1.227807913418e+04 
       4.873805783065e-02       1.220175315548e+04 
       4.910169000422e-02       1.212496699719e+04 
       4.947767410912e-02       1.204750661183e+04 
       4.986705564307e-02       1.196925940366e+04 
       5.027100890973e-02       1.189047222152e+04 
       5.069085795060e-02       1.181046332337e+04 
       5.112810167079e-02       1.172984937657e+04 
       5.158444414344e-02       1.164799579441e+04 
       5.206183133451e-02       1.156499883204e+04 
       5.256249581769e-02       1.148070747180e+04 
       5.308901146215e-02       1.139475356504e+04 
       5.364436059291e-02       1.130732896391e+04 
       5.423201675509e-02       1.121789103328e+04 
       5.485604695854e-02       1.112620497402e+04 
       5.552123809793e-02       1.103203964686e+04 
       5.623325301396e-02       1.093481436839e+04 
       5.699882209022e-02       1.083404741693e+04 
       5.782597572877e-02       1.072899068430e+04 
       5.872432021605e-02       1.061892888640e+04 
       5.970535186659e-02       1.050254999201e+04 
       6.078278733210e-02       1.037815789673e+04 
       6.197285391602e-02       1.024383017240e+04 
       6.329442167047e-02       1.009676317508e+04 
       6.476875867930e-02       9.933191857954e+03 
       6.641855901619e-02       9.748314133555e+03 
       6.826579461548e-02       9.536185455488e+03 
       7.032806334432e-02       9.289799987609e+03 
       7.261374203428e-02       9.003236596225e+03 
       7.511749158628e-02       8.671507723152e+03 
       7.781871042584e-02       8.294906273446e+03 
       8.068477330211e-02       7.879782668426e+03 
       8.367798366692e-02       7.438475771670e+03 
       8.676272126168e-02       6.987378330534e+03 
       8.990983471932e-02       6.544200168060e+03 
       9.309778928524e-02       6.125290953894e+03 
       9.631175980455e-02       5.743291924561e+03 
       9.954200676961e-02       5.406265249622e+03 
       1.027823216668e-01       5.117784630046e+03 
       1.060288212453e-01       4.877395997482e+03 
       1.092791050340e-01       4.680896387928e+03 
       1.125316997741e-01       4.521718812136e+03 
       1.157857051540e-01       4.391563253446e+03 
       1.190405723570e-01       4.281266690748e+03 
       1.222959672682e-01       4.181687484887e+03 
       1.255516865778e-01       4.084421991021e+03 
       1.288076065494e-01       3.982618426806e+03 
       1.320636518142e-01       3.871449687620e+03 
       1.353197763936e-01       3.748379330433e+03 
       1.385759521683e-01       3.613264613952e+03 
       1.418321618749e-01       3.468175275784e+03 
       1.450883948541e-01       3.316493979284e+03 
       1.483446444689e-01       3.162689391519e+03 
       1.516009065359e-01       3.011379936166e+03 
       1.548571783732e-01       2.867179289948e+03 
       1.581134582212e-01       2.733575917745e+03 
       1.613697448899e-01       2.613217910994e+03 
       1.646260375445e-01       2.507526981010e+03 
       1.678823355737e-01       2.416728537476e+03 
       1.711386385101e-01       2.340051217607e+03 
       1.743949459801e-01       2.275764690326e+03 
       1.776512576737e-01       2.221504163025e+03 
       1.809075733253e-01       2.174637657345e+03 
       1.841638927014e-01       2.132286016175e+03 
       1.874202155931e-01       2.092242251665e+03 
       1.906765418108e-01       2.051713673500e+03 
       1.939328711805e-01       2.008706396176e+03 
       1.971892035421e-01       1.961964952754e+03 
       2.004455387466e-01       1.910998422588e+03 
       2.037018766555e-01       1.856154112620e+03 
       2.069582171396e-01       1.798208031434e+03 
       2.102145600778e-01       1.738479373599e+03 
       2.134709053568e-01       1.678431856849e+03 
       2.167272528701e-01       1.619579994378e+03 
       2.199836025177e-01       1.563178083992e+03 
       2.232399542053e-01       1.510318613734e+03 
       2.264963078445e-01       1.461718265625e+03 
       2.297526633515e-01       1.417789983275e+03 
       2.330090206476e-01       1.378622237279e+03 
       2.362653796583e-01       1.344034637245e+03 
       2.395217403131e-01       1.313546144303e+03 
       2.427781025454e-01       1.286450930501e+03 
       2.460344662922e-01       1.261904711849e+03 
       2.492908314938e-01       1.239004818098e+03 
       2.525471980935e-01       1.216925237067e+03 
       2.558035660376e-01       1.194884935063e+03 
       2.590599352750e-01       1.172307310217e+03 
       2.623163057574e-01       1.148835847228e+03 
       2.655726774386e-01       1.124282243987e+03 
       2.688290502748e-01       1.098679077418e+03 
       2.720854242243e-01       1.072217104202e+03 
       2.753417992474e-01       1.045208836491e+03 
       2.785981753062e-01       1.018063123752e+03 
       2.818545523646e-01       9.912640704698e+02 
       2.851109303881e-01       9.652438143017e+02 
       2.883673093440e-01       9.404052676688e+02 
       2.916236892006e-01       9.170442376460e+02 
       2.948800699282e-01       8.953286118001e+02 
       2.981364514979e-01       8.752921125030e+02 
       3.013928338823e-01       8.568957285781e+02 
       3.046492170552e-01       8.399597771426e+02 
       3.079056009914e-01       8.242721769408e+02 
       3.111619856669e-01       8.095780995324e+02 
       3.144183710584e-01       7.956094102370e+02 
       3.176747571440e-01       7.821113213159e+02 
       3.209311439024e-01       7.688252015902e+02 
       3.241875313131e-01       7.555651321630e+02 
       3.274439193567e-01       7.421757644801e+02 
       3.307003080143e-01       7.285786203283e+02 
       3.339566972679e-01       7.147584594425e+02 
       3.372130871002e-01       7.007695883798e+02 
       3.404694774945e-01       6.867042921825e+02 
       3.437258684347e-01       6.726877932536e+02 
       3.469822599053e-01       6.588541292503e+02 
       3.502386518916e-01       6.453236727438e+02 
       3.534950443792e-01       6.322114805597e+02 
       3.567514373542e-01       6.196057331978e+02 
       3.600078308035e-01       6.075651627644e+02 
       3.632642247142e-01       5.961406182727e+02 
       3.665206190740e-01       5.853253042588e+02 
       3.697770138709e-01       5.750930623059e+02 
       3.730334090935e-01       5.653842706653e+02 
       3.762898047306e-01       5.561141426388e+02 
       3.795462007715e-01       5.471858424808e+02 
       3.828025972060e-01       5.385119759322e+02 
       3.860589940239e-01       5.300148077173e+02 
       3.893153912156e-01       5.216285121576e+02 
       3.925717887718e-01       5.133150239552e+02 
       3.958281866835e-01       5.050416890274e+02 
       3.990845849418e-01       4.968031400026e+02 
       4.023409835385e-01       4.885864573784e+02 
       4.055973824652e-01       4.804167974530e+02 
