# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.572369361664e-02       2.175527056468e+04 
       2.586109393055e-02       2.169471411532e+04 
       2.599865257378e-02       2.163399795212e+04 
       2.613637301742e-02       2.157313437376e+04 
       2.627425881922e-02       2.151213527510e+04 
       2.641231362598e-02       2.145101215049e+04 
       2.655054117606e-02       2.138977609739e+04 
       2.668894530201e-02       2.132843782029e+04 
       2.682752993323e-02       2.126700763482e+04 
       2.696629909873e-02       2.120549547213e+04 
       2.710525693003e-02       2.114391088345e+04 
       2.724440766412e-02       2.108226304484e+04 
       2.738375564659e-02       2.102056076210e+04 
       2.752330533475e-02       2.095881247586e+04 
       2.766306130101e-02       2.089702626674e+04 
       2.780302823627e-02       2.083520986068e+04 
       2.794321095351e-02       2.077337063435e+04 
       2.808361439146e-02       2.071151562061e+04 
       2.822424361844e-02       2.064965151406e+04 
       2.836510383631e-02       2.058778467662e+04 
       2.850620038463e-02       2.052592114316e+04 
       2.864753874491e-02       2.046406662711e+04 
       2.878912454508e-02       2.040222652614e+04 
       2.893096356407e-02       2.034040592772e+04 
       2.907306173665e-02       2.027860961476e+04 
       2.921542515838e-02       2.021684207116e+04 
       2.935806009081e-02       2.015510748732e+04 
       2.950097296687e-02       2.009340976557e+04 
       2.964417039648e-02       2.003175252556e+04 
       2.978765917237e-02       1.997013910954e+04 
       2.993144627617e-02       1.990857258758e+04 
       3.007553888471e-02       1.984705576263e+04 
       3.021994437664e-02       1.978559117550e+04 
       3.036467033925e-02       1.972418110975e+04 
       3.050972457568e-02       1.966282759639e+04 
       3.065511511232e-02       1.960153241846e+04 
       3.080085020661e-02       1.954029711549e+04 
       3.094693835517e-02       1.947912298779e+04 
       3.109338830227e-02       1.941801110051e+04 
       3.124020904864e-02       1.935696228768e+04 
       3.138740986075e-02       1.929597715592e+04 
       3.153500028045e-02       1.923505608805e+04 
       3.168299013504e-02       1.917419924649e+04 
       3.183138954786e-02       1.911340657647e+04 
       3.198020894932e-02       1.905267780899e+04 
       3.212945908844e-02       1.899201246365e+04 
       3.227915104496e-02       1.893140985118e+04 
       3.242929624201e-02       1.887086907581e+04 
       3.257990645941e-02       1.881038903736e+04 
       3.273099384757e-02       1.874996843310e+04 
       3.288257094211e-02       1.868960575941e+04 
       3.303465067917e-02       1.862929931311e+04 
       3.318724641153e-02       1.856904719259e+04 
