# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.926346199766e-02       2.331628568754e+04 
       1.939609137875e-02       2.328802021744e+04 
       1.952878159607e-02       2.325865895791e+04 
       1.966153373344e-02       2.322816897942e+04 
       1.979434890295e-02       2.319659421368e+04 
       1.992722824539e-02       2.316396838259e+04 
       2.006017293084e-02       2.313026295441e+04 
       2.019318415925e-02       2.309551857461e+04 
       2.032626316097e-02       2.305979469770e+04 
       2.045941119738e-02       2.302304124683e+04 
       2.059262956150e-02       2.298532121108e+04 
       2.072591957864e-02       2.294661882780e+04 
       2.085928260704e-02       2.290696648431e+04 
       2.099272003858e-02       2.286640641841e+04 
       2.112623329948e-02       2.282492012023e+04 
       2.125982385102e-02       2.278253936424e+04 
       2.139349319030e-02       2.273926789713e+04 
       2.152724285099e-02       2.269514843736e+04 
       2.166107440419e-02       2.265013643363e+04 
       2.179498945920e-02       2.260434805026e+04 
       2.192898966440e-02       2.255773875005e+04 
       2.206307670813e-02       2.251030530544e+04 
       2.219725231958e-02       2.246209043272e+04 
       2.233151826975e-02       2.241309918523e+04 
       2.246587637239e-02       2.236336752527e+04 
       2.260032848502e-02       2.231289215666e+04 
       2.273487650993e-02       2.226171567787e+04 
       2.286952239528e-02       2.220981071354e+04 
       2.300426813611e-02       2.215721633362e+04 
       2.313911577558e-02       2.210393099200e+04 
       2.327406740603e-02       2.204998978710e+04 
       2.340912517023e-02       2.199536545970e+04 
       2.354429126259e-02       2.194012559885e+04 
       2.367956793045e-02       2.188423223726e+04 
       2.381495747539e-02       2.182771133207e+04 
       2.395046225457e-02       2.177073327489e+04 
       2.408608468215e-02       2.171310254650e+04 
       2.422182723071e-02       2.165490756780e+04 
       2.435769243276e-02       2.159614115736e+04 
       2.449368288227e-02       2.153674427002e+04 
       2.462980123622e-02       2.147684003066e+04 
       2.476605021628e-02       2.141663286485e+04 
       2.490243261050e-02       2.135561302351e+04 
       2.503895127503e-02       2.129423085405e+04 
       2.517560913590e-02       2.123267648468e+04 
       2.531240919095e-02       2.117034074064e+04 
       2.544935451167e-02       2.110763383975e+04 
       2.558644824527e-02       2.104462277567e+04 
       2.572369361664e-02       2.098073424142e+04 
       2.586109393055e-02       2.091672326977e+04 
       2.599865257378e-02       2.085239094138e+04 
       2.613637301742e-02       2.078755027369e+04 
       2.627425881922e-02       2.072237118618e+04 
       2.641231362598e-02       2.065694918580e+04 
       2.655054117606e-02       2.059081277960e+04 
       2.668894530201e-02       2.052475968928e+04 
       2.682752993323e-02       2.045812139516e+04 
       2.696629909873e-02       2.039105654908e+04 
       2.710525693003e-02       2.032383042162e+04 
       2.724440766412e-02       2.025649573039e+04 
       2.738375564659e-02       2.018865301001e+04 
       2.752330533475e-02       2.012033312454e+04 
       2.766306130101e-02       2.005212166053e+04 
       2.780302823627e-02       1.998352856601e+04 
       2.794321095351e-02       1.991443616848e+04 
       2.808361439146e-02       1.984536864958e+04 
       2.822424361844e-02       1.977620670578e+04 
       2.836510383631e-02       1.970646183570e+04 
       2.850620038463e-02       1.963658546038e+04 
       2.864753874491e-02       1.956670160865e+04 
       2.878912454508e-02       1.949648794711e+04 
       2.893096356407e-02       1.942605345621e+04 
       2.907306173665e-02       1.935536005287e+04 
       2.921542515838e-02       1.928486113378e+04 
       2.935806009081e-02       1.921384346491e+04 
       2.950097296687e-02       1.914271323256e+04 
       2.964417039648e-02       1.907144743407e+04 
       2.978765917237e-02       1.900022267061e+04 
       2.993144627617e-02       1.892858196067e+04 
       3.007553888471e-02       1.885706286962e+04 
       3.021994437664e-02       1.878541957988e+04 
